ID da Dupla,Seção testada,"Na opinião de vocês, foi mais fácil implementar os casos de teste em qual framework?","Vocês utilizaram uma ferramenta de captura-replay, como o Cypress Scenario Recorder, para gerar os casos de teste em Cypress?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Cypress, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. ","Vocês utilizaram uma ferramenta de captura-replay, como o Selenium IDE, para gerar os casos de teste em Selenium?","Caso vocês tenham utilizado uma ferramenta de captura-replay para o Selenium, foi necessário realizar correções nos casos de teste gerados? Desconsiderando a inclusão de asserções. 
","Durante o desenvolvimento do casos de testes com Cypress vocês foram impactados por esse desafio?
","Durante o desenvolvimento do casos de testes com Selenium vocês foram impactados por esse desafio?
",Opnião
11.222,Shipments,cypress,Não,,não,,Sim,sim,"São ferramentas interessantes, porém acreditamos que o Cypress seja mais limpo em termos de código e em questão de disponibilidade com exemplo do Selenium que só funciona no Mozilla Firefox. Porém, cremos que o Selenium tenha capacidade de testes mais robustos de interface."
12.222,,selenium,Não,,não,,Sim,sim,"Geral:
- A experiência foi positiva, pois tivemos o contato com testes unitários para frontend pela primeira vez. Além disso, ter contato com bibliotecas diferentes, nos ajudou a ampliar o leque de conhecimentos e criar comparativos sobre essas ferramentas. O fato de ter sido o primeiro contato com tais ferramentas e o período para esse desenvolvimentos ter sido limitado, nos atentamos aos testes mais objetivos que cobriam o básico do sistema. Caso tivéssemos mais tempo livre, visualizamos a possibilidade de criar novos testes que cobrem ainda mais os limites do sistema, com os conhecimentos adquiridos na disciplina.

Cypress:
- Tanto pela biblioteca ser de alto nível, quanto pela interface gráfica fornecida, o Cypress garante uma melhor manipulação dos testes. Outro ponto fundamental de sua superioridade no serviço proposto é quanto a possibilidade de visualizar o histórico da execução dos comandos em cada teste, isso ajuda a visualizar onde podem estar presentes os erros de cada funcionamento.

Selenium:
- Essa biblioteca também cumpre com a sua proposta, sendo mais leve do que o Cypress e mais rápido. No entanto, o fato de ser de baixo nível e mais verbosa torna o desenvolvimento dos testes mais trabalhoso."
13.222,Produtos,cypress,sim,sim,não,,Não,sim,"No Cypress, os comandos são mais concisos, resultando em uma leitura mais fluida do teste. Por outro lado, no Selenium, enfrentamos maiores dificuldades ao montar o passo a passo do teste. Além disso, os vídeos no cypress ajudavam a entender as execuções e os possíveis erros.

Em ambas as ferramentas, havia inconsistências quanto à aprovação ou falha dos testes, o que dificultava a identificação de se os erros eram na escrita do teste, na velocidade de carregamento da página ou até mesmo na própria ferramenta."
14.222,Catalog promotions,cypress,Não,,não,,Sim,sim,"Ambos os frameworks são bem parecidos, porém o cypress parece ser um pouco mais fácil de implementar. Cada aluno ficou com um framework e os mesmos testes foram implementados em cada framework."
15.222,Tax rates,selenium,Não,,não,,Sim,sim,"Ao utilizar o Cypress e o Selenium, tivemos perspectivas distintas em relação a cada framework. O Cypress se destacou pela sua facilidade de uso e pela clareza dos testes escritos em sua sintaxe. Sua abordagem orientada ao desenvolvedor, com a execução dos testes no mesmo ambiente em que a aplicação é executada, permitiu um processo de desenvolvimento mais rápido e eficiente. Além disso, a visualização em tempo real dos testes executados no navegador foi uma característica positiva, proporcionando uma experiência de depuração mais simples. Em termos de impacto negativo, o Cypress pode ser limitado em cenários que requerem testes de compatibilidade com navegadores não suportados. Além disso, a necessidade de executar os testes no mesmo ambiente da aplicação pode ser uma desvantagem em certos casos. Já o Selenium, por sua natureza mais flexível, pode ser mais complexo de configurar e pode exigir uma abordagem mais técnica em comparação com o Cypress."
16.222,shipping-methods,cypress,Não,,sim,Sim,Sim,sim,"Cypress é muito mais amigável e fácil de atingir os objetivos esperados. No selenium além da interface não ajudar tanto, as formas de selecionar elementos da página são pouco mais difíceis de entender, além de ser uma sintaxe mais verbosa do que o cypress."
17.222,Attributes,selenium,Não,,sim,Sim,Não,sim,"Cypress é simples e rápido, enquanto Selenium é mais tradicional e flexível. Cypress tem uma curva de aprendizado íngreme, mas oferece boa experiência do usuário. Selenium pode ser complexo de configurar e tem execução mais lenta. A escolha depende das necessidades do projeto e preferências da equipe.

Em termos de impactos negativos, algumas pessoas podem considerar que o Cypress possui uma curva de aprendizado mais íngreme, especialmente para aqueles que não estão familiarizados com conceitos de programação assíncrona ou JavaScript moderno. Além disso, o suporte para testes em dispositivos móveis ainda é limitado no Cypress.

Já o Selenium, por ser mais antigo, pode apresentar uma configuração inicial mais complexa e exigir mais esforço para lidar com situações assíncronas. Além disso, a execução dos testes no Selenium pode ser mais lenta devido à comunicação com o navegador através do WebDriver.

No geral, a escolha entre Cypress e Selenium depende das necessidades específicas do projeto e das preferências da equipe de desenvolvimento. O Cypress é uma opção mais moderna e amigável para testes rápidos e interativos, enquanto o Selenium é uma escolha sólida para testes abrangentes em diferentes ambientes."
18.222,Zones,cypress,Não,,não,,Não,não,Cypress é muito mais amigável embora Selenium é mais rápido.
19.222,Product Reviews,cypress,Não,,não,,Não,não,Não podemos opinar pois não conseguimos avançar no desenvolvimento por conta de problemas de build e outras atividades. Estamos enviando para ao menos demonstrar que tentamos fazer. Muito obrigado.
20.222,Taxons,cypress,sim,sim,não,,Sim,não,"Sentimos uma maior facilidade em desenvolver os testes em Cypress, onde sentimos ser de mais fácil compreensão e mais intuitivo."
21.222,Locales,selenium,Não,,não,,Não,sim,"O Selenium é flexível e, apesar do Cypress parecer mais intuitivo, o Selenium pareceu mais simples por se assemelhar a códigos que já vimos ao longo do curso. Uma desvantagem é que o Selenium pareceu ser mais lento."
22.222,Channels,cypress,Não,,não,,Sim,não,"Cypress: foi uma ferramenta muito mais amigável, com muito mais conteúdo em foruns e sites, tive poucos erros na ferramenta e a UI é muito amigável, os testes são muito intuitivos e tem uma flexibilidade muito grande
Selenium: é uma ferramenta não muito boa, vários erros de execução que não eram necessariamente erro em código, o que me fazia executar novamente o teste pra saber se o erro era meu ou da ferramenta, muitos erros de permissão que atrasavam ainda mais o desenvolvimento, cheguei a executar 7 a 8 vezes pra conseguir rodar, a linguagem não é tão intuitiva quando cypress e não é tão fácil achar conteúdo na internet

se fosse para escolher entre as duas, ficaria com Cypress "
